"Access","Access Start (UTCG)","Access End (UTCG)","Duration (sec)","Asset Full Name"
1853,14 Dec 2021 18:00:30.531,14 Dec 2021 18:01:56.073,85.542,"Hartebeesthoek"
1854,14 Dec 2021 18:14:38.303,14 Dec 2021 18:18:08.854,210.551,"Dubai"
1855,14 Dec 2021 19:15:31.547,14 Dec 2021 19:19:16.035,224.488,"Punta_Arenas"
1856,14 Dec 2021 19:16:13.620,14 Dec 2021 19:19:44.988,211.368,"Tolhuin"
1857,14 Dec 2021 20:11:55.194,14 Dec 2021 20:13:15.531,80.338,"Tokyo"
1858,14 Dec 2021 20:51:47.203,14 Dec 2021 20:55:10.658,203.455,"Punta_Arenas"
1859,14 Dec 2021 20:52:38.088,14 Dec 2021 20:55:12.319,154.231,"Tolhuin"
1860,14 Dec 2021 21:24:00.898,14 Dec 2021 21:27:33.906,213.008,"Nemea"
1861,14 Dec 2021 21:45:29.362,14 Dec 2021 21:48:45.513,196.150,"Jeju"
1862,14 Dec 2021 21:47:49.862,14 Dec 2021 21:49:45.733,115.871,"Tokyo"
1863,14 Dec 2021 22:32:22.811,14 Dec 2021 22:35:18.695,175.884,"Cordoba"
1864,14 Dec 2021 22:52:36.962,14 Dec 2021 22:55:18.735,161.773,"Maspalomas"
1865,14 Dec 2021 22:56:27.724,14 Dec 2021 22:59:10.949,163.224,"Puertollano"
1866,15 Dec 2021 00:28:52.803,15 Dec 2021 00:31:35.526,162.722,"Azores"
1867,15 Dec 2021 00:33:12.280,15 Dec 2021 00:34:58.347,106.067,"Puertollano"
1868,15 Dec 2021 01:20:04.689,15 Dec 2021 01:23:50.970,226.281,"Awarua"
1869,15 Dec 2021 02:05:35.851,15 Dec 2021 02:07:24.161,108.310,"Azores"
1870,15 Dec 2021 02:30:15.519,15 Dec 2021 02:33:22.830,187.311,"Bangladore"
1871,15 Dec 2021 02:44:47.456,15 Dec 2021 02:48:28.982,221.526,"Mingenew"
1872,15 Dec 2021 02:57:08.991,15 Dec 2021 02:59:51.752,162.761,"Awarua"
1873,15 Dec 2021 03:52:54.033,15 Dec 2021 03:55:21.317,147.284,"Nemea"
1874,15 Dec 2021 04:00:28.060,15 Dec 2021 04:03:07.589,159.530,"Dubai"
1875,15 Dec 2021 04:33:38.467,15 Dec 2021 04:36:48.794,190.327,"Awarua"
1876,15 Dec 2021 05:24:48.474,15 Dec 2021 05:26:43.607,115.133,"Puertollano"
1877,15 Dec 2021 05:29:41.517,15 Dec 2021 05:30:51.730,70.213,"Nemea"
1878,15 Dec 2021 05:46:07.386,15 Dec 2021 05:49:36.637,209.251,"Mauritius"
1879,15 Dec 2021 06:09:46.677,15 Dec 2021 06:13:22.468,215.792,"Awarua"
1880,15 Dec 2021 06:37:26.133,15 Dec 2021 06:41:09.653,223.520,"Los_Angeles"
1881,15 Dec 2021 06:57:12.668,15 Dec 2021 06:59:08.332,115.665,"Azores"
1882,15 Dec 2021 07:00:45.521,15 Dec 2021 07:03:15.637,150.115,"Puertollano"
1883,15 Dec 2021 08:04:49.414,15 Dec 2021 08:08:28.882,219.468,"Hawaii"
1884,15 Dec 2021 08:33:09.620,15 Dec 2021 08:35:40.525,150.905,"Azores"
1885,15 Dec 2021 08:37:09.788,15 Dec 2021 08:39:28.361,138.573,"Maspalomas"
1886,15 Dec 2021 08:55:26.726,15 Dec 2021 08:57:32.282,125.556,"Hartebeesthoek"
1887,15 Dec 2021 10:52:44.701,15 Dec 2021 10:56:06.502,201.801,"Mingenew"
1888,15 Dec 2021 13:18:38.293,15 Dec 2021 13:22:07.434,209.141,"Panama"
1889,15 Dec 2021 14:09:41.743,15 Dec 2021 14:12:34.290,172.547,"Singapore"
1890,15 Dec 2021 14:19:30.428,15 Dec 2021 14:23:14.626,224.198,"Jeju"
1891,15 Dec 2021 14:22:49.545,15 Dec 2021 14:25:10.973,141.428,"Tokyo"
1892,15 Dec 2021 14:43:33.100,15 Dec 2021 14:46:54.275,201.175,"Los_Angeles"
1893,15 Dec 2021 15:05:33.680,15 Dec 2021 15:09:04.662,210.982,"Cordoba"
1894,15 Dec 2021 15:33:30.680,15 Dec 2021 15:37:09.855,219.174,"Mauritius"
1895,15 Dec 2021 15:44:18.579,15 Dec 2021 15:46:51.560,152.981,"Bangladore"
1896,15 Dec 2021 17:03:46.810,15 Dec 2021 17:07:18.089,211.279,"Hartebeesthoek"
1897,15 Dec 2021 17:52:31.412,15 Dec 2021 17:56:08.249,216.837,"Hawaii"
1898,15 Dec 2021 18:19:51.387,15 Dec 2021 18:23:27.054,215.668,"Punta_Arenas"
1899,15 Dec 2021 18:20:36.445,15 Dec 2021 18:23:59.645,203.200,"Tolhuin"
1900,15 Dec 2021 18:55:28.355,15 Dec 2021 18:58:05.345,156.990,"Dubai"
1901,15 Dec 2021 19:55:54.877,15 Dec 2021 19:59:37.504,222.627,"Punta_Arenas"
1902,15 Dec 2021 19:56:36.782,15 Dec 2021 19:59:58.955,202.173,"Tolhuin"
1903,15 Dec 2021 20:51:17.248,15 Dec 2021 20:54:56.366,219.118,"Tokyo"
1904,15 Dec 2021 21:32:34.107,15 Dec 2021 21:34:53.555,139.448,"Punta_Arenas"
1905,15 Dec 2021 22:04:31.074,15 Dec 2021 22:07:52.681,201.607,"Nemea"
1906,15 Dec 2021 22:25:49.811,15 Dec 2021 22:29:10.931,201.120,"Jeju"
1907,15 Dec 2021 23:12:27.832,15 Dec 2021 23:16:02.686,214.854,"Cordoba"
1908,15 Dec 2021 23:32:32.293,15 Dec 2021 23:36:02.800,210.508,"Maspalomas"
1909,15 Dec 2021 23:36:16.924,15 Dec 2021 23:40:00.555,223.631,"Puertollano"
1910,16 Dec 2021 00:24:37.530,16 Dec 2021 00:27:49.260,191.730,"Awarua"
1911,16 Dec 2021 01:08:41.492,16 Dec 2021 01:12:25.523,224.031,"Azores"
1912,16 Dec 2021 01:40:55.020,16 Dec 2021 01:44:31.201,216.181,"Singapore"
