"Access","Access Start (UTCG)","Access End (UTCG)","Duration (sec)","Asset Full Name"
94,1 Nov 2021 20:47:00.520,1 Nov 2021 20:50:08.287,187.767,"Tolhuin"
95,1 Nov 2021 21:21:07.045,1 Nov 2021 21:24:48.900,221.855,"Dubai"
96,1 Nov 2021 22:22:06.947,1 Nov 2021 22:25:51.585,224.639,"Punta_Arenas"
97,1 Nov 2021 22:22:48.508,1 Nov 2021 22:26:18.217,209.709,"Tolhuin"
98,1 Nov 2021 23:17:50.862,1 Nov 2021 23:20:40.785,169.923,"Tokyo"
99,1 Nov 2021 23:58:28.466,2 Nov 2021 00:01:35.641,187.175,"Punta_Arenas"
100,1 Nov 2021 23:59:29.749,2 Nov 2021 00:01:22.933,113.184,"Tolhuin"
101,2 Nov 2021 00:30:29.777,2 Nov 2021 00:34:14.682,224.905,"Nemea"
102,2 Nov 2021 00:51:54.461,2 Nov 2021 00:55:34.490,220.029,"Jeju"
103,2 Nov 2021 01:38:40.401,2 Nov 2021 01:42:16.484,216.082,"Cordoba"
104,2 Nov 2021 01:58:43.723,2 Nov 2021 02:02:18.054,214.331,"Maspalomas"
105,2 Nov 2021 02:02:37.454,2 Nov 2021 02:06:06.959,209.504,"Puertollano"
106,2 Nov 2021 02:51:46.028,2 Nov 2021 02:53:17.875,91.847,"Awarua"
107,2 Nov 2021 03:35:02.282,2 Nov 2021 03:38:31.738,209.456,"Azores"
108,2 Nov 2021 04:07:37.336,2 Nov 2021 04:10:18.850,161.514,"Singapore"
109,2 Nov 2021 04:26:45.401,2 Nov 2021 04:30:25.584,220.183,"Awarua"
110,2 Nov 2021 04:57:08.170,2 Nov 2021 05:00:12.842,184.672,"Panama"
111,2 Nov 2021 05:36:35.305,2 Nov 2021 05:40:12.652,217.347,"Bangladore"
112,2 Nov 2021 05:51:33.380,2 Nov 2021 05:54:55.380,201.999,"Mingenew"
113,2 Nov 2021 06:03:54.713,2 Nov 2021 06:06:30.137,155.424,"Awarua"
114,2 Nov 2021 06:59:09.616,2 Nov 2021 07:02:25.059,195.442,"Nemea"
115,2 Nov 2021 07:40:11.554,2 Nov 2021 07:43:36.242,204.687,"Awarua"
116,2 Nov 2021 08:30:58.187,2 Nov 2021 08:33:55.165,176.978,"Puertollano"
117,2 Nov 2021 08:52:37.908,2 Nov 2021 08:56:14.732,216.824,"Mauritius"
118,2 Nov 2021 09:16:32.951,2 Nov 2021 09:19:43.231,190.281,"Awarua"
119,2 Nov 2021 09:44:05.393,2 Nov 2021 09:47:42.284,216.890,"Los_Angeles"
120,2 Nov 2021 10:03:22.495,2 Nov 2021 10:06:19.786,177.291,"Azores"
121,2 Nov 2021 11:11:32.133,2 Nov 2021 11:14:56.238,204.105,"Hawaii"
122,2 Nov 2021 13:59:10.008,2 Nov 2021 14:02:53.893,223.885,"Mingenew"
123,2 Nov 2021 15:53:01.328,2 Nov 2021 15:55:47.189,165.861,"Tokyo"
124,2 Nov 2021 16:25:10.827,2 Nov 2021 16:28:43.151,212.323,"Panama"
125,2 Nov 2021 17:26:14.462,2 Nov 2021 17:29:43.551,209.089,"Jeju"
126,2 Nov 2021 17:50:38.818,2 Nov 2021 17:52:53.463,134.646,"Los_Angeles"
127,2 Nov 2021 18:12:33.938,2 Nov 2021 18:15:20.112,166.174,"Cordoba"
128,2 Nov 2021 18:40:07.814,2 Nov 2021 18:43:41.551,213.737,"Mauritius"
129,2 Nov 2021 18:50:21.254,2 Nov 2021 18:53:55.638,214.384,"Bangladore"
130,2 Nov 2021 19:51:26.087,2 Nov 2021 19:53:11.215,105.128,"Punta_Arenas"
131,2 Nov 2021 19:52:14.870,2 Nov 2021 19:53:45.009,90.138,"Tolhuin"
132,2 Nov 2021 20:10:16.945,2 Nov 2021 20:13:58.745,221.800,"Hartebeesthoek"
133,2 Nov 2021 20:59:15.110,2 Nov 2021 21:02:32.441,197.332,"Hawaii"
134,2 Nov 2021 21:26:23.637,2 Nov 2021 21:30:04.232,220.596,"Punta_Arenas"
135,2 Nov 2021 21:27:07.582,2 Nov 2021 21:30:36.003,208.421,"Tolhuin"
136,2 Nov 2021 23:02:31.551,2 Nov 2021 23:06:10.777,219.226,"Punta_Arenas"
137,2 Nov 2021 23:03:14.794,2 Nov 2021 23:06:27.420,192.626,"Tolhuin"
138,2 Nov 2021 23:36:22.785,2 Nov 2021 23:37:04.103,41.318,"Nemea"
139,2 Nov 2021 23:57:52.673,3 Nov 2021 00:01:32.166,219.494,"Tokyo"
140,3 Nov 2021 00:39:41.987,3 Nov 2021 00:40:47.016,65.029,"Punta_Arenas"
141,3 Nov 2021 01:11:32.594,3 Nov 2021 01:14:10.098,157.504,"Nemea"
142,3 Nov 2021 01:32:56.112,3 Nov 2021 01:35:09.532,133.421,"Jeju"
143,3 Nov 2021 02:19:25.478,3 Nov 2021 02:22:11.110,165.633,"Cordoba"
144,3 Nov 2021 02:39:36.715,3 Nov 2021 02:42:13.455,156.740,"Maspalomas"
145,3 Nov 2021 02:43:02.357,3 Nov 2021 02:46:29.844,207.487,"Puertollano"
146,3 Nov 2021 03:30:59.135,3 Nov 2021 03:34:34.944,215.810,"Awarua"
147,3 Nov 2021 04:15:26.746,3 Nov 2021 04:18:54.942,208.195,"Azores"
148,3 Nov 2021 04:47:50.916,3 Nov 2021 04:50:43.248,172.332,"Singapore"
149,3 Nov 2021 04:56:19.138,3 Nov 2021 04:58:44.259,145.121,"Mingenew"
150,3 Nov 2021 05:07:34.459,3 Nov 2021 05:10:42.556,188.096,"Awarua"
151,3 Nov 2021 05:37:39.684,3 Nov 2021 05:40:20.575,160.891,"Panama"
152,3 Nov 2021 06:10:51.995,3 Nov 2021 06:14:29.540,217.545,"Dubai"
153,3 Nov 2021 06:44:29.773,3 Nov 2021 06:47:13.949,164.176,"Awarua"
154,3 Nov 2021 07:39:25.540,3 Nov 2021 07:42:59.071,213.532,"Nemea"
155,3 Nov 2021 08:20:30.101,3 Nov 2021 08:24:17.909,227.807,"Awarua"
156,3 Nov 2021 08:49:03.887,3 Nov 2021 08:51:19.921,136.034,"Los_Angeles"
157,3 Nov 2021 09:11:03.540,3 Nov 2021 09:14:44.974,221.434,"Puertollano"
158,3 Nov 2021 10:17:10.970,3 Nov 2021 10:17:56.135,45.166,"Hawaii"
159,3 Nov 2021 10:43:27.856,3 Nov 2021 10:47:09.619,221.763,"Azores"
160,3 Nov 2021 10:47:22.601,3 Nov 2021 10:51:02.785,220.183,"Maspalomas"
161,3 Nov 2021 11:05:26.722,3 Nov 2021 11:09:06.550,219.827,"Hartebeesthoek"
162,3 Nov 2021 14:40:44.032,3 Nov 2021 14:41:53.841,69.808,"Mingenew"
163,3 Nov 2021 16:20:17.153,3 Nov 2021 16:23:43.714,206.561,"Singapore"
164,3 Nov 2021 16:30:54.528,3 Nov 2021 16:33:36.613,162.085,"Jeju"
165,3 Nov 2021 16:32:53.576,3 Nov 2021 16:36:34.408,220.832,"Tokyo"
166,3 Nov 2021 16:54:17.157,3 Nov 2021 16:57:51.201,214.044,"Los_Angeles"
167,3 Nov 2021 17:16:28.949,3 Nov 2021 17:19:50.502,201.553,"Cordoba"
168,3 Nov 2021 19:32:00.487,3 Nov 2021 19:33:00.042,59.555,"Bangladore"
169,3 Nov 2021 20:04:26.027,3 Nov 2021 20:05:50.187,84.160,"Hawaii"
170,3 Nov 2021 20:30:54.985,3 Nov 2021 20:34:09.406,194.421,"Punta_Arenas"
171,3 Nov 2021 20:31:41.930,3 Nov 2021 20:34:42.991,181.061,"Tolhuin"
172,3 Nov 2021 21:05:44.096,3 Nov 2021 21:09:26.048,221.952,"Dubai"
173,3 Nov 2021 22:06:43.750,3 Nov 2021 22:10:28.454,224.703,"Punta_Arenas"
174,3 Nov 2021 22:07:25.476,3 Nov 2021 22:10:56.172,210.696,"Tolhuin"
175,3 Nov 2021 23:02:39.929,3 Nov 2021 23:05:01.597,141.668,"Tokyo"
176,3 Nov 2021 23:43:02.435,3 Nov 2021 23:46:17.569,195.133,"Punta_Arenas"
177,3 Nov 2021 23:43:58.180,3 Nov 2021 23:46:12.116,133.936,"Tolhuin"
178,4 Nov 2021 00:15:07.762,4 Nov 2021 00:18:50.483,222.721,"Nemea"
179,4 Nov 2021 00:36:34.239,4 Nov 2021 00:40:07.517,213.279,"Jeju"
180,4 Nov 2021 01:23:22.884,4 Nov 2021 01:26:46.262,203.378,"Cordoba"
181,4 Nov 2021 01:43:29.094,4 Nov 2021 01:46:48.063,198.969,"Maspalomas"
182,4 Nov 2021 01:47:22.618,4 Nov 2021 01:50:37.285,194.667,"Puertollano"
183,4 Nov 2021 03:19:47.536,4 Nov 2021 03:23:01.994,194.458,"Azores"
184,4 Nov 2021 03:52:45.040,4 Nov 2021 03:54:25.681,100.641,"Singapore"
185,4 Nov 2021 04:11:19.494,4 Nov 2021 04:15:02.986,223.492,"Awarua"
186,4 Nov 2021 04:42:06.568,4 Nov 2021 04:44:29.892,143.324,"Panama"
187,4 Nov 2021 05:21:15.538,4 Nov 2021 05:24:46.948,211.410,"Bangladore"
188,4 Nov 2021 05:36:03.369,4 Nov 2021 05:39:38.010,214.641,"Mingenew"
189,4 Nov 2021 05:48:27.461,4 Nov 2021 05:51:05.354,157.894,"Awarua"
190,4 Nov 2021 06:43:53.359,4 Nov 2021 06:46:51.846,178.487,"Nemea"
191,4 Nov 2021 06:52:20.667,4 Nov 2021 06:53:35.594,74.927,"Dubai"
192,4 Nov 2021 07:24:49.461,4 Nov 2021 07:28:08.112,198.651,"Awarua"
193,4 Nov 2021 08:15:43.844,4 Nov 2021 08:18:19.197,155.353,"Puertollano"
194,4 Nov 2021 08:37:13.897,4 Nov 2021 08:40:53.068,219.172,"Mauritius"
195,4 Nov 2021 09:01:04.195,4 Nov 2021 09:04:27.700,203.505,"Awarua"
196,4 Nov 2021 09:28:38.766,4 Nov 2021 09:32:21.718,222.952,"Los_Angeles"
197,4 Nov 2021 09:48:08.122,4 Nov 2021 09:50:43.843,155.720,"Azores"
198,4 Nov 2021 09:52:30.647,4 Nov 2021 09:53:50.341,79.694,"Puertollano"
199,4 Nov 2021 10:56:02.829,4 Nov 2021 10:59:39.220,216.391,"Hawaii"
200,4 Nov 2021 11:24:54.289,4 Nov 2021 11:26:15.694,81.405,"Azores"
201,4 Nov 2021 13:43:49.323,4 Nov 2021 13:47:27.964,218.641,"Mingenew"
202,4 Nov 2021 15:37:59.973,4 Nov 2021 15:40:05.418,125.445,"Tokyo"
203,4 Nov 2021 16:09:45.696,4 Nov 2021 16:13:23.295,217.598,"Panama"
204,4 Nov 2021 17:01:33.644,4 Nov 2021 17:03:05.929,92.285,"Singapore"
205,4 Nov 2021 17:10:45.719,4 Nov 2021 17:14:24.633,218.914,"Jeju"
206,4 Nov 2021 17:14:36.436,4 Nov 2021 17:15:55.014,78.578,"Tokyo"
207,4 Nov 2021 17:34:58.598,4 Nov 2021 17:37:50.364,171.766,"Los_Angeles"
208,4 Nov 2021 17:56:57.372,4 Nov 2021 18:00:07.820,190.448,"Cordoba"
209,4 Nov 2021 18:24:41.348,4 Nov 2021 18:28:22.954,221.606,"Mauritius"
210,4 Nov 2021 18:35:07.212,4 Nov 2021 18:38:24.972,197.760,"Bangladore"
211,4 Nov 2021 19:36:26.177,4 Nov 2021 19:37:29.189,63.012,"Punta_Arenas"
212,4 Nov 2021 19:37:18.232,4 Nov 2021 19:37:59.893,41.661,"Tolhuin"
213,4 Nov 2021 19:54:53.965,4 Nov 2021 19:58:35.899,221.934,"Hartebeesthoek"
214,4 Nov 2021 20:43:45.508,4 Nov 2021 20:47:17.356,211.847,"Hawaii"
215,4 Nov 2021 21:11:01.631,4 Nov 2021 21:14:40.446,218.814,"Punta_Arenas"
216,4 Nov 2021 21:11:46.054,4 Nov 2021 21:15:12.606,206.553,"Tolhuin"
217,4 Nov 2021 21:47:21.067,4 Nov 2021 21:48:40.900,79.833,"Dubai"
218,4 Nov 2021 22:47:07.790,4 Nov 2021 22:50:48.741,220.951,"Punta_Arenas"
219,4 Nov 2021 22:47:50.321,4 Nov 2021 22:51:07.615,197.294,"Tolhuin"
220,4 Nov 2021 23:42:28.247,4 Nov 2021 23:46:10.604,222.357,"Tokyo"
221,5 Nov 2021 00:24:00.330,5 Nov 2021 00:25:46.744,106.414,"Punta_Arenas"
222,5 Nov 2021 00:55:56.283,5 Nov 2021 00:58:56.192,179.908,"Nemea"
223,5 Nov 2021 01:17:15.512,5 Nov 2021 01:20:06.813,171.302,"Jeju"
224,5 Nov 2021 02:03:49.710,5 Nov 2021 02:07:03.061,193.350,"Cordoba"
225,5 Nov 2021 02:23:57.615,5 Nov 2021 02:27:03.967,186.352,"Maspalomas"
226,5 Nov 2021 02:27:33.548,5 Nov 2021 02:31:10.265,216.716,"Puertollano"
227,5 Nov 2021 03:15:40.680,5 Nov 2021 03:19:08.284,207.603,"Awarua"
228,5 Nov 2021 03:59:58.018,5 Nov 2021 04:03:35.301,217.282,"Azores"
229,5 Nov 2021 04:32:14.575,5 Nov 2021 04:35:34.527,199.952,"Singapore"
230,5 Nov 2021 04:41:30.678,5 Nov 2021 04:42:49.685,79.007,"Mingenew"
231,5 Nov 2021 04:52:05.982,5 Nov 2021 04:55:20.321,194.339,"Awarua"
232,5 Nov 2021 05:22:00.036,5 Nov 2021 05:25:14.158,194.122,"Panama"
233,5 Nov 2021 05:55:33.466,5 Nov 2021 05:59:01.467,208.002,"Dubai"
234,5 Nov 2021 06:29:05.888,5 Nov 2021 06:31:45.960,160.073,"Awarua"
235,5 Nov 2021 07:23:59.387,5 Nov 2021 07:27:39.727,220.340,"Nemea"
236,5 Nov 2021 08:05:07.043,5 Nov 2021 08:08:53.148,226.105,"Awarua"
237,5 Nov 2021 08:34:18.376,5 Nov 2021 08:35:22.732,64.356,"Los_Angeles"
238,5 Nov 2021 08:55:39.707,5 Nov 2021 08:59:22.417,222.711,"Puertollano"
239,5 Nov 2021 10:10:16.298,5 Nov 2021 10:11:44.889,88.591,"Los_Angeles"
240,5 Nov 2021 10:28:04.035,5 Nov 2021 10:31:47.044,223.009,"Azores"
241,5 Nov 2021 10:32:01.649,5 Nov 2021 10:35:37.382,215.734,"Maspalomas"
242,5 Nov 2021 10:50:05.099,5 Nov 2021 10:53:42.567,217.469,"Hartebeesthoek"
243,5 Nov 2021 14:24:46.354,5 Nov 2021 14:27:08.535,142.180,"Mingenew"
244,5 Nov 2021 16:05:06.952,5 Nov 2021 16:08:08.824,181.871,"Singapore"
245,5 Nov 2021 16:15:55.690,5 Nov 2021 16:17:52.343,116.653,"Jeju"
246,5 Nov 2021 16:17:28.281,5 Nov 2021 16:21:12.715,224.434,"Tokyo"
247,5 Nov 2021 16:38:58.877,5 Nov 2021 16:42:21.575,202.698,"Los_Angeles"
248,5 Nov 2021 17:01:17.722,5 Nov 2021 17:04:17.583,179.860,"Cordoba"
249,5 Nov 2021 19:15:55.134,5 Nov 2021 19:18:18.170,143.035,"Bangladore"
250,5 Nov 2021 20:15:36.936,5 Nov 2021 20:18:43.347,186.411,"Punta_Arenas"
251,5 Nov 2021 20:16:24.195,5 Nov 2021 20:19:17.092,172.896,"Tolhuin"
252,5 Nov 2021 20:36:42.745,5 Nov 2021 20:37:21.031,38.286,"Hartebeesthoek"
253,5 Nov 2021 20:50:25.123,5 Nov 2021 20:53:59.826,214.702,"Dubai"
254,5 Nov 2021 21:51:20.650,5 Nov 2021 21:55:05.226,224.576,"Punta_Arenas"
255,5 Nov 2021 21:52:02.624,5 Nov 2021 21:55:33.895,211.271,"Tolhuin"
256,5 Nov 2021 22:47:35.294,5 Nov 2021 22:49:15.381,100.087,"Tokyo"
257,5 Nov 2021 23:27:36.993,5 Nov 2021 23:30:58.598,201.606,"Punta_Arenas"
258,5 Nov 2021 23:28:28.896,5 Nov 2021 23:30:58.687,149.791,"Tolhuin"
259,5 Nov 2021 23:59:48.242,6 Nov 2021 00:03:24.456,216.215,"Nemea"
260,6 Nov 2021 00:21:16.264,6 Nov 2021 00:24:37.588,201.324,"Jeju"
261,6 Nov 2021 00:23:49.219,6 Nov 2021 00:25:23.459,94.239,"Tokyo"
262,6 Nov 2021 01:08:08.329,6 Nov 2021 01:11:12.348,184.019,"Cordoba"
263,6 Nov 2021 01:28:19.893,6 Nov 2021 01:31:13.224,173.331,"Maspalomas"
264,6 Nov 2021 01:32:11.702,6 Nov 2021 01:35:04.322,172.620,"Puertollano"
265,6 Nov 2021 03:04:36.733,6 Nov 2021 03:07:28.935,172.202,"Azores"
266,6 Nov 2021 03:09:09.921,6 Nov 2021 03:10:40.827,90.906,"Puertollano"
267,6 Nov 2021 03:55:54.323,6 Nov 2021 03:59:40.099,225.776,"Awarua"
268,6 Nov 2021 04:27:31.058,6 Nov 2021 04:28:20.944,49.886,"Panama"
269,6 Nov 2021 04:41:33.274,6 Nov 2021 04:43:06.849,93.575,"Azores"
270,6 Nov 2021 05:06:00.672,6 Nov 2021 05:09:15.928,195.256,"Bangladore"
271,6 Nov 2021 05:20:36.933,6 Nov 2021 05:24:17.768,220.834,"Mingenew"
272,6 Nov 2021 05:32:59.738,6 Nov 2021 05:35:41.133,161.394,"Awarua"
273,6 Nov 2021 06:28:39.458,6 Nov 2021 06:31:15.602,156.145,"Nemea"
274,6 Nov 2021 06:36:23.840,6 Nov 2021 06:38:49.198,145.358,"Dubai"
275,6 Nov 2021 07:09:27.310,6 Nov 2021 07:12:39.711,192.401,"Awarua"
276,6 Nov 2021 08:00:32.631,6 Nov 2021 08:02:39.430,126.799,"Puertollano"
277,6 Nov 2021 08:06:00.783,6 Nov 2021 08:06:09.390,8.607,"Nemea"
278,6 Nov 2021 08:21:54.318,6 Nov 2021 08:25:27.499,213.182,"Mauritius"
279,6 Nov 2021 08:45:36.918,6 Nov 2021 08:49:10.148,213.231,"Awarua"
280,6 Nov 2021 09:13:14.897,6 Nov 2021 09:16:59.093,224.196,"Los_Angeles"
281,6 Nov 2021 09:32:56.855,6 Nov 2021 09:35:04.127,127.272,"Azores"
282,6 Nov 2021 09:36:40.427,6 Nov 2021 09:38:57.939,137.512,"Puertollano"
283,6 Nov 2021 10:40:38.108,6 Nov 2021 10:44:18.182,220.073,"Hawaii"
284,6 Nov 2021 11:09:04.475,6 Nov 2021 11:11:22.881,138.406,"Azores"
285,6 Nov 2021 11:13:07.538,6 Nov 2021 11:15:07.878,120.340,"Maspalomas"
286,6 Nov 2021 11:31:26.191,6 Nov 2021 11:33:12.070,105.879,"Hartebeesthoek"
287,6 Nov 2021 13:28:31.440,6 Nov 2021 13:31:58.543,207.103,"Mingenew"
288,6 Nov 2021 15:23:23.612,6 Nov 2021 15:23:59.258,35.647,"Tokyo"
289,6 Nov 2021 15:54:25.408,6 Nov 2021 15:57:58.330,212.922,"Panama"
290,6 Nov 2021 16:45:37.580,6 Nov 2021 16:48:16.446,158.866,"Singapore"
291,6 Nov 2021 16:55:19.849,6 Nov 2021 16:59:03.556,223.707,"Jeju"
292,6 Nov 2021 16:58:45.396,6 Nov 2021 17:00:54.865,129.468,"Tokyo"
293,6 Nov 2021 17:19:24.815,6 Nov 2021 17:22:40.213,195.399,"Los_Angeles"
294,6 Nov 2021 17:41:25.060,6 Nov 2021 17:44:52.012,206.952,"Cordoba"
295,6 Nov 2021 18:09:18.798,6 Nov 2021 18:12:59.912,221.114,"Mauritius"
296,6 Nov 2021 18:20:00.197,6 Nov 2021 18:22:47.555,167.358,"Bangladore"
297,6 Nov 2021 19:39:34.143,6 Nov 2021 19:43:09.245,215.102,"Hartebeesthoek"
298,6 Nov 2021 20:28:20.343,6 Nov 2021 20:31:57.349,217.007,"Hawaii"
299,6 Nov 2021 20:55:39.958,6 Nov 2021 20:59:16.503,216.545,"Punta_Arenas"
300,6 Nov 2021 20:56:24.860,6 Nov 2021 20:59:48.996,204.136,"Tolhuin"
301,6 Nov 2021 21:31:24.714,6 Nov 2021 21:33:48.060,143.346,"Dubai"
302,6 Nov 2021 22:31:44.156,6 Nov 2021 22:35:26.428,222.273,"Punta_Arenas"
303,6 Nov 2021 22:32:26.183,6 Nov 2021 22:35:47.278,201.095,"Tolhuin"
304,6 Nov 2021 23:27:05.766,6 Nov 2021 23:30:46.411,220.645,"Tokyo"
305,7 Nov 2021 00:08:26.096,7 Nov 2021 00:10:38.634,132.538,"Punta_Arenas"
306,7 Nov 2021 00:40:22.997,7 Nov 2021 00:43:39.960,196.962,"Nemea"
307,7 Nov 2021 01:01:41.557,7 Nov 2021 01:04:56.836,195.279,"Jeju"
308,7 Nov 2021 01:48:18.755,7 Nov 2021 01:51:49.579,210.824,"Cordoba"
309,7 Nov 2021 02:08:23.953,7 Nov 2021 02:11:49.777,205.824,"Maspalomas"
310,7 Nov 2021 02:12:06.803,7 Nov 2021 02:15:49.287,222.484,"Puertollano"
311,7 Nov 2021 03:00:24.053,7 Nov 2021 03:03:40.339,196.286,"Awarua"
312,7 Nov 2021 03:44:31.348,7 Nov 2021 03:48:14.271,222.923,"Azores"
313,7 Nov 2021 04:16:45.044,7 Nov 2021 04:20:19.041,213.996,"Singapore"
314,7 Nov 2021 04:36:37.726,7 Nov 2021 04:39:58.180,200.455,"Awarua"
315,7 Nov 2021 05:06:27.858,7 Nov 2021 05:10:00.630,212.772,"Panama"
316,7 Nov 2021 05:40:18.626,7 Nov 2021 05:43:29.021,190.395,"Dubai"
317,7 Nov 2021 05:46:50.483,7 Nov 2021 05:49:03.481,132.998,"Bangladore"
318,7 Nov 2021 06:13:41.469,7 Nov 2021 06:16:18.384,156.915,"Awarua"
319,7 Nov 2021 07:08:35.098,7 Nov 2021 07:12:17.863,222.765,"Nemea"
320,7 Nov 2021 07:49:44.312,7 Nov 2021 07:53:27.607,223.295,"Awarua"
321,7 Nov 2021 08:40:17.373,7 Nov 2021 08:43:57.693,220.321,"Puertollano"
322,7 Nov 2021 09:03:13.311,7 Nov 2021 09:04:55.065,101.754,"Mauritius"
323,7 Nov 2021 09:27:10.068,7 Nov 2021 09:28:05.457,55.388,"Awarua"
324,7 Nov 2021 09:54:26.342,7 Nov 2021 09:56:44.082,137.739,"Los_Angeles"
325,7 Nov 2021 10:12:41.707,7 Nov 2021 10:16:22.308,220.600,"Azores"
326,7 Nov 2021 10:16:43.719,7 Nov 2021 10:20:08.274,204.555,"Maspalomas"
327,7 Nov 2021 10:34:47.549,7 Nov 2021 10:38:15.125,207.576,"Hartebeesthoek"
328,7 Nov 2021 14:09:05.854,7 Nov 2021 14:12:05.499,179.645,"Mingenew"
329,7 Nov 2021 15:50:06.419,7 Nov 2021 15:52:24.176,137.757,"Singapore"
330,7 Nov 2021 16:02:05.540,7 Nov 2021 16:05:49.144,223.604,"Tokyo"
331,7 Nov 2021 16:23:43.020,7 Nov 2021 16:26:48.802,185.783,"Los_Angeles"
332,7 Nov 2021 16:46:13.181,7 Nov 2021 16:48:38.587,145.406,"Cordoba"
333,7 Nov 2021 17:36:51.524,7 Nov 2021 17:38:31.156,99.631,"Jeju"
334,7 Nov 2021 19:00:11.836,7 Nov 2021 19:03:14.772,182.935,"Bangladore"
335,7 Nov 2021 20:00:19.978,7 Nov 2021 20:03:16.520,176.542,"Punta_Arenas"
336,7 Nov 2021 20:01:07.508,7 Nov 2021 20:03:50.425,162.917,"Tolhuin"
337,7 Nov 2021 20:20:33.287,7 Nov 2021 20:22:47.407,134.120,"Hartebeesthoek"
338,7 Nov 2021 20:35:10.645,7 Nov 2021 20:38:29.688,199.043,"Dubai"
339,7 Nov 2021 21:35:57.662,7 Nov 2021 21:39:41.912,224.250,"Punta_Arenas"
340,7 Nov 2021 21:36:39.953,7 Nov 2021 21:40:11.408,211.455,"Tolhuin"
341,7 Nov 2021 23:12:12.012,7 Nov 2021 23:15:38.876,206.864,"Punta_Arenas"
342,7 Nov 2021 23:13:01.098,7 Nov 2021 23:15:43.455,162.356,"Tolhuin"
343,7 Nov 2021 23:44:31.566,7 Nov 2021 23:47:56.236,204.670,"Nemea"
344,8 Nov 2021 00:06:00.862,8 Nov 2021 00:09:04.360,183.498,"Jeju"
345,8 Nov 2021 00:08:01.141,8 Nov 2021 00:10:28.697,147.557,"Tokyo"
346,8 Nov 2021 00:52:57.765,8 Nov 2021 00:55:33.698,155.933,"Cordoba"
347,8 Nov 2021 01:13:19.278,8 Nov 2021 01:15:30.366,131.088,"Maspalomas"
348,8 Nov 2021 01:17:06.604,8 Nov 2021 01:19:26.178,139.573,"Puertollano"
349,8 Nov 2021 02:49:31.811,8 Nov 2021 02:51:50.636,138.825,"Azores"
350,8 Nov 2021 02:53:24.219,8 Nov 2021 02:55:34.889,130.670,"Puertollano"
351,8 Nov 2021 03:40:29.981,8 Nov 2021 03:44:16.852,226.870,"Awarua"
352,8 Nov 2021 04:25:48.052,8 Nov 2021 04:28:00.457,132.405,"Azores"
353,8 Nov 2021 04:50:52.087,8 Nov 2021 04:53:38.163,166.075,"Bangladore"
354,8 Nov 2021 05:05:13.924,8 Nov 2021 05:08:54.772,220.848,"Mingenew"
355,8 Nov 2021 05:17:31.637,8 Nov 2021 05:20:17.414,165.778,"Awarua"
356,8 Nov 2021 06:13:29.058,8 Nov 2021 06:15:35.164,126.106,"Nemea"
357,8 Nov 2021 06:20:43.755,8 Nov 2021 06:23:45.551,181.797,"Dubai"
358,8 Nov 2021 06:54:05.038,8 Nov 2021 06:57:11.130,186.091,"Awarua"
359,8 Nov 2021 07:45:27.548,8 Nov 2021 07:46:52.886,85.337,"Puertollano"
360,8 Nov 2021 07:49:44.818,8 Nov 2021 07:51:42.964,118.146,"Nemea"
361,8 Nov 2021 08:06:39.643,8 Nov 2021 08:09:57.525,197.881,"Mauritius"
362,8 Nov 2021 08:30:10.778,8 Nov 2021 08:33:50.918,220.140,"Awarua"
363,8 Nov 2021 08:57:53.881,8 Nov 2021 09:01:34.292,220.411,"Los_Angeles"
364,8 Nov 2021 09:17:51.630,8 Nov 2021 09:19:17.718,86.088,"Azores"
365,8 Nov 2021 09:21:02.203,8 Nov 2021 09:23:52.916,170.713,"Puertollano"
366,8 Nov 2021 10:25:17.834,8 Nov 2021 10:28:53.221,215.387,"Hawaii"
367,8 Nov 2021 10:53:26.372,8 Nov 2021 10:56:17.730,171.358,"Azores"
368,8 Nov 2021 10:57:22.849,8 Nov 2021 11:00:09.181,166.332,"Maspalomas"
369,8 Nov 2021 11:15:36.957,8 Nov 2021 11:18:12.334,155.378,"Hartebeesthoek"
370,8 Nov 2021 13:13:16.765,8 Nov 2021 13:16:25.191,188.426,"Mingenew"
371,8 Nov 2021 15:39:10.239,8 Nov 2021 15:42:27.935,197.696,"Panama"
372,8 Nov 2021 16:29:57.540,8 Nov 2021 16:33:11.139,193.599,"Singapore"
373,8 Nov 2021 16:39:56.823,8 Nov 2021 16:43:40.320,223.497,"Jeju"
374,8 Nov 2021 16:43:04.040,8 Nov 2021 16:45:45.755,161.715,"Tokyo"
375,8 Nov 2021 17:03:55.003,8 Nov 2021 17:07:25.446,210.443,"Los_Angeles"
376,8 Nov 2021 17:25:56.245,8 Nov 2021 17:29:33.425,217.180,"Cordoba"
377,8 Nov 2021 17:54:00.069,8 Nov 2021 17:57:32.497,212.428,"Mauritius"
378,8 Nov 2021 18:05:05.688,8 Nov 2021 18:06:57.877,112.190,"Bangladore"
379,8 Nov 2021 19:24:17.681,8 Nov 2021 19:27:38.562,200.881,"Hartebeesthoek"
380,8 Nov 2021 20:12:59.153,8 Nov 2021 20:16:32.835,213.682,"Hawaii"
381,8 Nov 2021 20:40:18.679,8 Nov 2021 20:43:52.365,213.686,"Punta_Arenas"
382,8 Nov 2021 20:41:04.047,8 Nov 2021 20:44:25.145,201.098,"Tolhuin"
383,8 Nov 2021 21:15:42.653,8 Nov 2021 21:18:41.671,179.017,"Dubai"
